"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w12c100.csv",,,,"Date:","08 Jan 2012 04:02:09 PST"

"system","total cpu usage",,,,,,"memory usage",,,
08-01 04:02:22,97.250,1.500,0.083,0.0,0.0,1.167,1711947776.0,321892352.0,1675059200.0,21617364992.0
08-01 04:02:23,96.583,1.750,0.250,0.0,0.0,1.417,1706569728.0,321892352.0,1675059200.0,21622743040.0
08-01 04:02:24,98.083,1.333,0.0,0.0,0.0,0.583,1705365504.0,321892352.0,1675059200.0,21623947264.0
08-01 04:02:25,97.750,1.333,0.083,0.0,0.0,0.833,1730850816.0,321892352.0,1675059200.0,21598461952.0
08-01 04:02:26,98.333,1.250,0.0,0.0,0.0,0.417,1734631424.0,321892352.0,1675059200.0,21594681344.0
08-01 04:02:27,97.750,1.0,0.083,0.0,0.0,1.167,1721057280.0,321892352.0,1675059200.0,21608255488.0
08-01 04:02:28,96.750,2.500,0.083,0.0,0.0,0.667,1719480320.0,321892352.0,1675059200.0,21609832448.0
08-01 04:02:29,97.417,1.667,0.0,0.0,0.0,0.917,1716523008.0,321892352.0,1675059200.0,21612789760.0
08-01 04:02:30,97.833,1.500,0.0,0.0,0.0,0.667,1724313600.0,321892352.0,1675059200.0,21604999168.0
08-01 04:02:31,98.583,1.0,0.0,0.0,0.0,0.417,1719459840.0,321892352.0,1675059200.0,21609852928.0
08-01 04:02:32,97.500,1.750,0.0,0.0,0.0,0.750,1715900416.0,321892352.0,1675059200.0,21613412352.0
08-01 04:02:33,97.833,1.083,0.167,0.0,0.0,0.917,1717919744.0,321892352.0,1675059200.0,21611393024.0
08-01 04:02:34,98.0,1.417,0.0,0.0,0.0,0.583,1730613248.0,321892352.0,1675059200.0,21598699520.0
08-01 04:02:35,97.417,1.917,0.250,0.0,0.0,0.417,1725767680.0,321892352.0,1675059200.0,21603545088.0
08-01 04:02:36,98.0,0.833,0.0,0.0,0.0,1.167,1723928576.0,321892352.0,1675059200.0,21605384192.0
08-01 04:02:37,98.0,1.333,0.083,0.0,0.0,0.583,1727696896.0,321892352.0,1675059200.0,21601615872.0
08-01 04:02:38,97.917,1.500,0.0,0.0,0.0,0.583,1732136960.0,321892352.0,1675059200.0,21597175808.0
08-01 04:02:39,97.500,1.500,0.083,0.0,0.0,0.917,1721307136.0,321892352.0,1675059200.0,21608005632.0
08-01 04:02:40,97.750,2.0,0.0,0.0,0.0,0.250,1720438784.0,321892352.0,1675059200.0,21608873984.0
08-01 04:02:41,96.833,2.083,0.083,0.0,0.0,1.0,1679921152.0,321892352.0,1675059200.0,21649391616.0
08-01 04:02:42,97.667,1.583,0.0,0.0,0.0,0.750,1718059008.0,321892352.0,1675059200.0,21611253760.0
08-01 04:02:43,97.417,1.833,0.0,0.0,0.0,0.750,1721331712.0,321892352.0,1675059200.0,21607981056.0
08-01 04:02:44,97.417,1.917,0.0,0.0,0.0,0.667,1721122816.0,321892352.0,1675059200.0,21608189952.0
08-01 04:02:45,97.500,1.583,0.083,0.0,0.0,0.833,1733967872.0,321892352.0,1675059200.0,21595344896.0
08-01 04:02:46,97.833,1.500,0.0,0.0,0.0,0.667,1697673216.0,321892352.0,1675059200.0,21631639552.0
08-01 04:02:47,96.583,2.583,0.0,0.0,0.0,0.833,1704910848.0,321892352.0,1675063296.0,21624397824.0
08-01 04:02:48,97.417,2.0,0.0,0.0,0.0,0.583,1720848384.0,321892352.0,1675063296.0,21608460288.0
08-01 04:02:49,97.667,1.583,0.333,0.0,0.0,0.417,1731244032.0,321892352.0,1675063296.0,21598064640.0
08-01 04:02:50,96.417,2.167,0.333,0.0,0.0,1.083,1703845888.0,321892352.0,1675063296.0,21625462784.0
08-01 04:02:51,97.500,1.750,0.167,0.0,0.0,0.583,1736396800.0,321892352.0,1675063296.0,21592911872.0
08-01 04:02:52,98.083,1.167,0.083,0.0,0.0,0.667,1749504000.0,321892352.0,1675063296.0,21579804672.0
08-01 04:02:53,96.583,2.0,0.083,0.0,0.0,1.333,1735303168.0,321892352.0,1675063296.0,21594005504.0
08-01 04:02:54,97.167,1.833,0.083,0.0,0.0,0.917,1749544960.0,321892352.0,1675063296.0,21579763712.0
08-01 04:02:55,97.500,1.583,0.0,0.0,0.0,0.917,1716551680.0,321892352.0,1675063296.0,21612756992.0
08-01 04:02:56,97.167,2.083,0.0,0.0,0.0,0.750,1741205504.0,321892352.0,1675063296.0,21588103168.0
08-01 04:02:57,96.833,2.333,0.083,0.0,0.0,0.750,1731895296.0,321892352.0,1675063296.0,21597413376.0
08-01 04:02:58,97.333,1.417,0.0,0.0,0.0,1.250,1735622656.0,321892352.0,1675063296.0,21593686016.0
08-01 04:02:59,95.750,2.250,0.333,0.0,0.0,1.667,1725493248.0,321892352.0,1675063296.0,21603815424.0
08-01 04:03:00,96.500,1.917,0.083,0.0,0.0,1.500,1741664256.0,321892352.0,1675063296.0,21587644416.0
08-01 04:03:01,97.0,2.083,0.0,0.0,0.0,0.917,1740169216.0,321892352.0,1675063296.0,21589139456.0
08-01 04:03:02,97.083,1.417,0.250,0.0,0.0,1.250,1734086656.0,321892352.0,1675063296.0,21595222016.0
08-01 04:03:03,97.750,1.250,0.167,0.0,0.0,0.833,1744666624.0,321892352.0,1675063296.0,21584642048.0
08-01 04:03:04,97.583,1.667,0.083,0.0,0.0,0.667,1737527296.0,321892352.0,1675063296.0,21591781376.0
08-01 04:03:05,97.333,1.417,0.333,0.0,0.0,0.917,1742561280.0,321892352.0,1675063296.0,21586747392.0
08-01 04:03:06,96.583,1.917,0.0,0.0,0.0,1.500,1736065024.0,321892352.0,1675063296.0,21593243648.0
08-01 04:03:07,98.0,1.250,0.0,0.0,0.0,0.750,1739657216.0,321892352.0,1675063296.0,21589651456.0
08-01 04:03:08,97.333,1.500,0.0,0.0,0.0,1.167,1727361024.0,321892352.0,1675063296.0,21601947648.0
08-01 04:03:09,97.583,1.833,0.0,0.0,0.0,0.583,1733128192.0,321892352.0,1675063296.0,21596180480.0
08-01 04:03:10,97.083,2.250,0.083,0.0,0.0,0.583,1728942080.0,321892352.0,1675063296.0,21600366592.0
08-01 04:03:11,98.500,1.0,0.0,0.0,0.0,0.500,1753182208.0,321892352.0,1675063296.0,21576126464.0
08-01 04:03:12,97.167,2.0,0.0,0.0,0.0,0.833,1733242880.0,321892352.0,1675063296.0,21596065792.0
08-01 04:03:13,97.583,1.750,0.083,0.0,0.0,0.583,1737478144.0,321892352.0,1675063296.0,21591830528.0
08-01 04:03:14,98.333,0.917,0.0,0.0,0.0,0.750,1750298624.0,321892352.0,1675063296.0,21579010048.0
08-01 04:03:15,97.667,1.417,0.083,0.0,0.0,0.833,1745842176.0,321892352.0,1675063296.0,21583466496.0
08-01 04:03:16,98.083,1.500,0.0,0.0,0.0,0.417,1747996672.0,321892352.0,1675063296.0,21581312000.0
08-01 04:03:17,97.0,1.833,0.0,0.0,0.0,1.167,1705893888.0,321892352.0,1675063296.0,21623414784.0
08-01 04:03:18,97.0,2.333,0.083,0.0,0.0,0.583,1750249472.0,321892352.0,1675063296.0,21579059200.0
08-01 04:03:19,97.0,2.417,0.0,0.0,0.0,0.583,1738760192.0,321892352.0,1675063296.0,21590548480.0
08-01 04:03:20,97.833,1.083,0.083,0.0,0.0,1.0,1762254848.0,321892352.0,1675063296.0,21567053824.0
08-01 04:03:21,97.500,1.583,0.083,0.0,0.0,0.833,1748226048.0,321892352.0,1675063296.0,21581082624.0
08-01 04:03:22,97.417,1.833,0.083,0.0,0.0,0.667,1737502720.0,321892352.0,1675063296.0,21591805952.0
08-01 04:03:23,99.0,0.417,0.0,0.0,0.0,0.583,1731227648.0,321892352.0,1675063296.0,21598081024.0
08-01 04:03:24,97.667,1.583,0.0,0.0,0.0,0.750,1751080960.0,321892352.0,1675063296.0,21578227712.0
08-01 04:03:25,97.333,2.0,0.167,0.0,0.0,0.500,1725825024.0,321892352.0,1675063296.0,21603483648.0
08-01 04:03:26,97.167,1.750,0.083,0.0,0.0,1.0,1749954560.0,321892352.0,1675063296.0,21579354112.0
08-01 04:03:27,96.833,2.333,0.0,0.0,0.0,0.833,1707499520.0,321892352.0,1675063296.0,21621809152.0
08-01 04:03:28,97.250,1.917,0.167,0.0,0.0,0.667,1745010688.0,321892352.0,1675063296.0,21584297984.0
08-01 04:03:29,96.583,2.333,0.083,0.0,0.0,1.0,1740828672.0,321892352.0,1675067392.0,21588475904.0
08-01 04:03:30,97.250,1.833,0.0,0.0,0.0,0.917,1743650816.0,321892352.0,1675067392.0,21585653760.0
08-01 04:03:31,97.083,2.167,0.0,0.0,0.0,0.750,1691865088.0,321892352.0,1675067392.0,21637439488.0
08-01 04:03:32,97.833,1.167,0.0,0.0,0.0,1.0,1745666048.0,321892352.0,1675067392.0,21583638528.0
08-01 04:03:33,97.333,2.0,0.0,0.0,0.0,0.667,1757622272.0,321892352.0,1675067392.0,21571682304.0
08-01 04:03:34,97.917,1.417,0.083,0.0,0.0,0.583,1734758400.0,321892352.0,1675071488.0,21594542080.0
08-01 04:03:35,97.0,2.250,0.083,0.0,0.0,0.667,1742110720.0,321892352.0,1675071488.0,21587189760.0
08-01 04:03:36,97.250,1.583,0.0,0.0,0.0,1.167,1754185728.0,321892352.0,1675071488.0,21575114752.0
08-01 04:03:37,97.083,1.833,0.0,0.0,0.0,1.083,1758339072.0,321892352.0,1675071488.0,21570961408.0
08-01 04:03:38,97.500,1.833,0.167,0.0,0.0,0.500,1762873344.0,321892352.0,1675071488.0,21566427136.0
08-01 04:03:39,97.250,2.0,0.083,0.0,0.0,0.667,1758257152.0,321892352.0,1675071488.0,21571043328.0
08-01 04:03:40,97.583,1.417,0.083,0.0,0.0,0.917,1744195584.0,321892352.0,1675071488.0,21585104896.0
08-01 04:03:41,96.167,2.417,0.083,0.0,0.0,1.333,1744097280.0,321892352.0,1675071488.0,21585203200.0
08-01 04:03:42,97.083,1.833,0.0,0.0,0.0,1.083,1745244160.0,321892352.0,1675071488.0,21584056320.0
08-01 04:03:43,97.750,1.583,0.0,0.0,0.0,0.667,1741590528.0,321892352.0,1675071488.0,21587709952.0
08-01 04:03:44,97.333,2.333,0.0,0.0,0.0,0.333,1755688960.0,321892352.0,1675071488.0,21573611520.0
08-01 04:03:45,96.0,3.083,0.0,0.0,0.0,0.917,1741709312.0,321892352.0,1675071488.0,21587591168.0
08-01 04:03:46,96.250,2.500,0.250,0.0,0.0,1.0,1735946240.0,321892352.0,1675071488.0,21593354240.0
08-01 04:03:47,97.583,1.417,0.0,0.0,0.0,1.0,1770319872.0,321892352.0,1675071488.0,21558980608.0
08-01 04:03:48,97.250,1.917,0.0,0.0,0.0,0.833,1739792384.0,321892352.0,1675071488.0,21589508096.0
08-01 04:03:49,96.417,2.500,0.250,0.0,0.0,0.833,1746165760.0,321892352.0,1675071488.0,21583134720.0
08-01 04:03:50,97.833,1.583,0.250,0.0,0.0,0.333,1767366656.0,321892352.0,1675071488.0,21561933824.0
08-01 04:03:51,97.083,1.500,0.083,0.0,0.0,1.333,1774637056.0,321892352.0,1675071488.0,21554663424.0
08-01 04:03:52,97.417,1.750,0.0,0.0,0.0,0.833,1752514560.0,321892352.0,1675071488.0,21576785920.0
08-01 04:03:53,97.667,1.833,0.0,0.0,0.0,0.500,1764380672.0,321892352.0,1675071488.0,21564919808.0
08-01 04:03:54,96.833,1.833,0.167,0.0,0.0,1.167,1768431616.0,321892352.0,1675071488.0,21560868864.0
08-01 04:03:55,96.917,1.833,0.083,0.0,0.0,1.167,1773481984.0,321892352.0,1675071488.0,21555818496.0
08-01 04:03:56,98.083,1.500,0.0,0.0,0.0,0.417,1753075712.0,321892352.0,1675071488.0,21576224768.0
08-01 04:03:57,97.917,1.083,0.083,0.0,0.0,0.917,1761538048.0,321892352.0,1675071488.0,21567762432.0
08-01 04:03:58,97.750,1.417,0.0,0.0,0.0,0.833,1772834816.0,321892352.0,1675071488.0,21556465664.0
08-01 04:03:59,97.750,1.667,0.083,0.0,0.0,0.500,1754951680.0,321892352.0,1675071488.0,21574348800.0
08-01 04:04:00,96.750,2.667,0.083,0.0,0.0,0.500,1759047680.0,321892352.0,1675071488.0,21570252800.0
08-01 04:04:01,97.250,1.833,0.0,0.0,0.0,0.917,1740890112.0,321892352.0,1675071488.0,21588410368.0
08-01 04:04:02,97.417,1.917,0.0,0.0,0.0,0.667,1768443904.0,321892352.0,1675071488.0,21560856576.0
08-01 04:04:03,97.667,0.667,0.417,0.0,0.0,1.250,1758871552.0,321892352.0,1675071488.0,21570428928.0
08-01 04:04:04,96.417,2.583,0.0,0.0,0.0,1.0,1771851776.0,321892352.0,1675071488.0,21557448704.0
08-01 04:04:05,96.917,2.417,0.0,0.0,0.0,0.667,1760645120.0,321892352.0,1675071488.0,21568655360.0
08-01 04:04:06,97.333,2.0,0.083,0.0,0.0,0.583,1711505408.0,321892352.0,1675071488.0,21617795072.0
08-01 04:04:07,96.917,1.667,0.333,0.0,0.0,1.083,1772453888.0,321892352.0,1675071488.0,21556846592.0
08-01 04:04:08,96.917,2.0,0.167,0.0,0.0,0.917,1777135616.0,321892352.0,1675071488.0,21552164864.0
08-01 04:04:09,97.0,1.667,0.500,0.0,0.0,0.833,1753436160.0,321892352.0,1675071488.0,21575864320.0
08-01 04:04:10,97.833,1.250,0.083,0.0,0.0,0.833,1772179456.0,321892352.0,1675071488.0,21557121024.0
08-01 04:04:11,97.417,1.833,0.083,0.0,0.0,0.667,1762824192.0,321892352.0,1675075584.0,21566472192.0
08-01 04:04:12,97.417,1.417,0.083,0.0,0.0,1.083,1765203968.0,321892352.0,1675075584.0,21564092416.0
08-01 04:04:13,97.500,1.750,0.0,0.0,0.0,0.750,1770360832.0,321892352.0,1675075584.0,21558935552.0
08-01 04:04:14,97.083,1.833,0.0,0.0,0.0,1.083,1768931328.0,321892352.0,1675075584.0,21560365056.0
08-01 04:04:15,97.0,1.833,0.083,0.0,0.0,1.083,1763422208.0,321892352.0,1675075584.0,21565874176.0
08-01 04:04:16,96.833,2.250,0.083,0.0,0.0,0.833,1727598592.0,321892352.0,1675075584.0,21601697792.0
08-01 04:04:17,97.333,1.667,0.083,0.0,0.0,0.917,1774673920.0,321892352.0,1675075584.0,21554622464.0
08-01 04:04:18,97.083,1.750,0.0,0.0,0.0,1.167,1794621440.0,321892352.0,1675075584.0,21534674944.0
08-01 04:04:19,97.917,1.500,0.167,0.0,0.0,0.417,1758801920.0,321892352.0,1675075584.0,21570494464.0
08-01 04:04:20,96.750,1.250,0.583,0.0,0.0,1.417,1758007296.0,321892352.0,1675075584.0,21571289088.0
08-01 04:04:21,97.833,1.417,0.167,0.0,0.0,0.583,1742606336.0,321892352.0,1675075584.0,21586690048.0
08-01 04:04:22,98.0,1.0,0.167,0.0,0.0,0.833,1777840128.0,321892352.0,1675075584.0,21551456256.0
08-01 04:04:23,97.167,1.917,0.167,0.0,0.0,0.750,1751158784.0,321892352.0,1675075584.0,21578137600.0
08-01 04:04:24,97.167,2.0,0.083,0.0,0.0,0.750,1764929536.0,321892352.0,1675075584.0,21564366848.0
08-01 04:04:25,96.917,1.750,0.083,0.0,0.0,1.250,1767170048.0,321892352.0,1675075584.0,21562126336.0
08-01 04:04:26,97.250,1.250,0.0,0.0,0.0,1.500,1773694976.0,321892352.0,1675075584.0,21555601408.0
08-01 04:04:27,96.917,2.0,0.0,0.0,0.0,1.083,1765675008.0,321892352.0,1675075584.0,21563621376.0
08-01 04:04:28,97.250,1.667,0.167,0.0,0.0,0.917,1770319872.0,321892352.0,1675075584.0,21558976512.0
08-01 04:04:29,96.833,1.833,0.167,0.0,0.0,1.167,1750847488.0,321892352.0,1675075584.0,21578448896.0
08-01 04:04:30,96.583,2.333,0.083,0.0,0.0,1.0,1767165952.0,321892352.0,1675075584.0,21562130432.0
08-01 04:04:31,97.583,1.500,0.250,0.0,0.0,0.667,1766629376.0,321892352.0,1675075584.0,21562667008.0
08-01 04:04:32,97.500,1.667,0.167,0.0,0.0,0.667,1765670912.0,321892352.0,1675075584.0,21563625472.0
08-01 04:04:33,98.250,1.250,0.083,0.0,0.0,0.417,1765482496.0,321892352.0,1675075584.0,21563813888.0
08-01 04:04:34,96.833,2.333,0.0,0.0,0.0,0.833,1767297024.0,321892352.0,1675075584.0,21561999360.0
08-01 04:04:35,98.0,1.750,0.083,0.0,0.0,0.167,1767956480.0,321892352.0,1675075584.0,21561339904.0
08-01 04:04:36,97.417,1.750,0.0,0.0,0.0,0.833,1776029696.0,321892352.0,1675075584.0,21553266688.0
08-01 04:04:37,97.083,1.750,0.0,0.0,0.0,1.167,1729232896.0,321892352.0,1675075584.0,21600063488.0
08-01 04:04:38,96.917,2.083,0.083,0.0,0.0,0.917,1754828800.0,321892352.0,1675075584.0,21574467584.0
08-01 04:04:39,97.583,1.667,0.083,0.0,0.0,0.667,1766051840.0,321892352.0,1675075584.0,21563244544.0
08-01 04:04:40,97.417,1.500,0.333,0.0,0.0,0.750,1772810240.0,321892352.0,1675075584.0,21556486144.0
08-01 04:04:41,97.333,1.167,0.333,0.0,0.0,1.167,1779748864.0,321892352.0,1675075584.0,21549547520.0
08-01 04:04:42,97.583,1.500,0.083,0.0,0.0,0.833,1772474368.0,321892352.0,1675075584.0,21556822016.0
08-01 04:04:43,96.083,3.083,0.0,0.0,0.0,0.833,1744605184.0,321892352.0,1675075584.0,21584691200.0
08-01 04:04:44,97.500,1.750,0.083,0.0,0.0,0.667,1731457024.0,321892352.0,1675075584.0,21597839360.0
08-01 04:04:45,98.333,1.250,0.0,0.0,0.0,0.417,1726935040.0,321892352.0,1675075584.0,21602361344.0
08-01 04:04:46,97.500,1.750,0.0,0.0,0.0,0.750,1731334144.0,321892352.0,1675075584.0,21597962240.0
08-01 04:04:47,97.167,2.167,0.0,0.0,0.0,0.667,1750945792.0,321892352.0,1675075584.0,21578350592.0
08-01 04:04:48,97.333,2.083,0.167,0.0,0.0,0.417,1768448000.0,321892352.0,1675075584.0,21560848384.0
08-01 04:04:49,97.833,1.333,0.083,0.0,0.0,0.750,1762619392.0,321892352.0,1675075584.0,21566676992.0
08-01 04:04:50,97.750,1.250,0.0,0.0,0.0,1.0,1755856896.0,321892352.0,1675075584.0,21573439488.0
08-01 04:04:51,97.417,2.0,0.0,0.0,0.0,0.583,1779601408.0,321892352.0,1675075584.0,21549694976.0
08-01 04:04:52,98.0,1.417,0.0,0.0,0.0,0.583,1774067712.0,321892352.0,1675079680.0,21555224576.0
08-01 04:04:53,97.250,1.833,0.0,0.0,0.0,0.917,1770688512.0,321892352.0,1675079680.0,21558603776.0
08-01 04:04:54,97.333,2.0,0.0,0.0,0.0,0.667,1772658688.0,321892352.0,1675079680.0,21556633600.0
08-01 04:04:55,97.250,2.0,0.083,0.0,0.0,0.667,1770852352.0,321892352.0,1675079680.0,21558439936.0
08-01 04:04:56,97.0,1.917,0.0,0.0,0.0,1.083,1776005120.0,321892352.0,1675079680.0,21553287168.0
08-01 04:04:57,96.500,2.083,0.333,0.0,0.0,1.083,1756610560.0,321892352.0,1675079680.0,21572681728.0
08-01 04:04:58,97.750,1.583,0.0,0.0,0.0,0.667,1754263552.0,321892352.0,1675079680.0,21575028736.0
08-01 04:04:59,97.583,1.583,0.0,0.0,0.0,0.833,1765654528.0,321892352.0,1675079680.0,21563637760.0
08-01 04:05:00,97.750,1.667,0.083,0.0,0.0,0.500,1757171712.0,321892352.0,1675079680.0,21572120576.0
08-01 04:05:01,97.750,1.417,0.0,0.0,0.0,0.833,1773989888.0,321892352.0,1675079680.0,21555302400.0
08-01 04:05:02,96.917,2.167,0.083,0.0,0.0,0.833,1780928512.0,321892352.0,1675079680.0,21548363776.0
08-01 04:05:03,97.167,2.167,0.0,0.0,0.0,0.667,1768288256.0,321892352.0,1675079680.0,21561004032.0
08-01 04:05:04,97.417,1.750,0.083,0.0,0.0,0.750,1770668032.0,321892352.0,1675079680.0,21558624256.0
08-01 04:05:05,96.500,2.417,0.0,0.0,0.0,1.083,1768280064.0,321892352.0,1675079680.0,21561012224.0
08-01 04:05:06,97.917,1.250,0.0,0.0,0.0,0.833,1767211008.0,321892352.0,1675079680.0,21562081280.0
08-01 04:05:07,97.417,1.917,0.083,0.0,0.0,0.583,1776799744.0,321892352.0,1675079680.0,21552492544.0
08-01 04:05:08,97.667,1.083,0.0,0.0,0.0,1.250,1767698432.0,321892352.0,1675079680.0,21561593856.0
08-01 04:05:09,97.167,1.750,0.0,0.0,0.0,1.083,1773637632.0,321892352.0,1675079680.0,21555654656.0
08-01 04:05:10,97.833,1.500,0.0,0.0,0.0,0.667,1770266624.0,321892352.0,1675079680.0,21559025664.0
08-01 04:05:11,97.417,2.0,0.0,0.0,0.0,0.583,1750966272.0,321892352.0,1675079680.0,21578326016.0
08-01 04:05:12,98.0,1.500,0.0,0.0,0.0,0.500,1780965376.0,321892352.0,1675079680.0,21548326912.0
08-01 04:05:13,97.750,1.583,0.0,0.0,0.0,0.667,1766256640.0,321892352.0,1675079680.0,21563035648.0
08-01 04:05:14,97.667,1.583,0.0,0.0,0.0,0.750,1771401216.0,321892352.0,1675079680.0,21557891072.0
08-01 04:05:15,97.417,1.917,0.167,0.0,0.0,0.500,1777672192.0,321892352.0,1675079680.0,21551620096.0
08-01 04:05:16,97.500,1.833,0.0,0.0,0.0,0.667,1753190400.0,321892352.0,1675079680.0,21576101888.0
08-01 04:05:17,98.250,1.333,0.0,0.0,0.0,0.417,1742217216.0,321892352.0,1675079680.0,21587075072.0
08-01 04:05:18,97.417,1.917,0.0,0.0,0.0,0.667,1759653888.0,321892352.0,1675079680.0,21569638400.0
08-01 04:05:19,97.083,1.917,0.0,0.0,0.0,1.0,1763905536.0,321892352.0,1675079680.0,21565386752.0
08-01 04:05:20,97.167,2.0,0.0,0.0,0.0,0.833,1748844544.0,321892352.0,1675079680.0,21580447744.0
08-01 04:05:21,97.583,1.583,0.0,0.0,0.0,0.833,1743712256.0,321892352.0,1675079680.0,21585580032.0
08-01 04:05:22,97.750,1.500,0.083,0.0,0.0,0.667,1740976128.0,321892352.0,1675079680.0,21588316160.0
08-01 04:05:23,97.250,2.167,0.0,0.0,0.0,0.583,1748406272.0,321892352.0,1675079680.0,21580886016.0
08-01 04:05:24,97.750,1.500,0.0,0.0,0.0,0.750,1729798144.0,321892352.0,1675079680.0,21599494144.0
08-01 04:05:25,98.0,1.167,0.083,0.0,0.0,0.750,1739886592.0,321892352.0,1675079680.0,21589405696.0
08-01 04:05:26,97.167,2.083,0.167,0.0,0.0,0.583,1729716224.0,321892352.0,1675079680.0,21599576064.0
08-01 04:05:27,97.583,1.667,0.083,0.0,0.0,0.667,1742327808.0,321892352.0,1675079680.0,21586964480.0
08-01 04:05:28,98.333,1.167,0.083,0.0,0.0,0.417,1738092544.0,321892352.0,1675079680.0,21591199744.0
08-01 04:05:29,98.167,1.250,0.0,0.0,0.0,0.583,1739386880.0,321892352.0,1675079680.0,21589905408.0
08-01 04:05:30,97.333,2.0,0.0,0.0,0.0,0.667,1744539648.0,321892352.0,1675079680.0,21584752640.0
08-01 04:05:31,96.833,2.250,0.083,0.0,0.0,0.833,1747906560.0,321892352.0,1675079680.0,21581385728.0
08-01 04:05:32,97.667,1.750,0.0,0.0,0.0,0.583,1737424896.0,321892352.0,1675079680.0,21591867392.0
08-01 04:05:33,97.083,2.333,0.0,0.0,0.0,0.583,1739919360.0,321892352.0,1675079680.0,21589372928.0
08-01 04:05:34,97.0,2.0,0.0,0.0,0.0,1.0,1739972608.0,321892352.0,1675083776.0,21589315584.0
08-01 04:05:35,98.083,1.250,0.0,0.0,0.0,0.667,1754869760.0,321892352.0,1675083776.0,21574418432.0
08-01 04:05:36,97.500,1.500,0.083,0.0,0.0,0.917,1752596480.0,321892352.0,1675083776.0,21576691712.0
08-01 04:05:37,97.417,1.750,0.083,0.0,0.0,0.750,1737379840.0,321892352.0,1675083776.0,21591908352.0
08-01 04:05:38,96.833,1.917,0.167,0.0,0.0,1.083,1748185088.0,321892352.0,1675083776.0,21581103104.0
08-01 04:05:39,97.333,1.750,0.250,0.0,0.0,0.667,1734148096.0,321892352.0,1675083776.0,21595140096.0
08-01 04:05:40,97.917,1.250,0.0,0.0,0.0,0.833,1746169856.0,321892352.0,1675083776.0,21583118336.0
08-01 04:05:41,96.083,2.333,0.083,0.0,0.0,1.500,1744015360.0,321892352.0,1675083776.0,21585272832.0
08-01 04:05:42,97.833,1.417,0.0,0.0,0.0,0.750,1742589952.0,321892352.0,1675083776.0,21586698240.0
08-01 04:05:43,96.333,2.500,0.167,0.0,0.0,1.0,1737084928.0,321892352.0,1675083776.0,21592203264.0
08-01 04:05:44,96.917,2.250,0.0,0.0,0.0,0.833,1747419136.0,321892352.0,1675083776.0,21581869056.0
08-01 04:05:45,97.0,1.750,0.250,0.0,0.0,1.0,1741025280.0,321892352.0,1675083776.0,21588262912.0
08-01 04:05:46,97.250,2.167,0.0,0.0,0.0,0.583,1753092096.0,321892352.0,1675083776.0,21576196096.0
08-01 04:05:47,97.417,1.833,0.0,0.0,0.0,0.750,1748156416.0,321892352.0,1675083776.0,21581131776.0
08-01 04:05:48,96.833,2.333,0.0,0.0,0.0,0.833,1731235840.0,321892352.0,1675083776.0,21598052352.0
08-01 04:05:49,97.333,1.833,0.0,0.0,0.0,0.833,1742176256.0,321892352.0,1675083776.0,21587111936.0
08-01 04:05:50,97.500,1.917,0.0,0.0,0.0,0.583,1736052736.0,321892352.0,1675083776.0,21593235456.0
08-01 04:05:51,97.667,2.083,0.0,0.0,0.0,0.250,1751363584.0,321892352.0,1675083776.0,21577924608.0
