"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ql-2",,,,"User:","qlio"
"Cmdline:","dstat -t -c -m --output w12c200.csv",,,,"Date:","08 Jan 2012 04:10:31 PST"

"system","total cpu usage",,,,,,"memory usage",,,
08-01 04:11:42,98.250,1.250,0.0,0.0,0.0,0.500,1757761536.0,321892352.0,1675042816.0,21571567616.0
08-01 04:11:43,98.333,1.083,0.083,0.0,0.0,0.500,1761890304.0,321892352.0,1675042816.0,21567438848.0
08-01 04:11:44,97.417,1.833,0.0,0.0,0.0,0.750,1752006656.0,321892352.0,1675042816.0,21577322496.0
08-01 04:11:45,97.500,1.750,0.0,0.0,0.0,0.750,1762922496.0,321892352.0,1675042816.0,21566406656.0
08-01 04:11:46,98.333,0.750,0.167,0.0,0.0,0.750,1712771072.0,321892352.0,1675042816.0,21616558080.0
08-01 04:11:47,98.333,1.167,0.0,0.0,0.0,0.500,1761619968.0,321892352.0,1675042816.0,21567709184.0
08-01 04:11:48,97.0,2.417,0.083,0.0,0.0,0.500,1753972736.0,321892352.0,1675042816.0,21575356416.0
08-01 04:11:49,97.583,1.750,0.0,0.0,0.0,0.667,1759150080.0,321892352.0,1675042816.0,21570179072.0
08-01 04:11:50,98.667,0.833,0.0,0.0,0.0,0.500,1762992128.0,321892352.0,1675042816.0,21566337024.0
08-01 04:11:51,97.833,1.333,0.0,0.0,0.0,0.833,1746452480.0,321892352.0,1675046912.0,21582872576.0
08-01 04:11:52,97.833,1.583,0.0,0.0,0.0,0.583,1774452736.0,321892352.0,1675046912.0,21554872320.0
08-01 04:11:53,98.250,1.583,0.0,0.0,0.0,0.167,1745997824.0,321892352.0,1675046912.0,21583327232.0
08-01 04:11:54,97.833,1.500,0.0,0.0,0.0,0.667,1757769728.0,321892352.0,1675046912.0,21571555328.0
08-01 04:11:55,97.250,1.833,0.0,0.0,0.0,0.917,1737154560.0,321892352.0,1675046912.0,21592170496.0
08-01 04:11:56,96.917,2.333,0.083,0.0,0.0,0.667,1727627264.0,321892352.0,1675046912.0,21601697792.0
08-01 04:11:57,97.750,1.417,0.0,0.0,0.0,0.833,1768787968.0,321892352.0,1675046912.0,21560537088.0
08-01 04:11:58,98.167,1.250,0.0,0.0,0.0,0.583,1749458944.0,321892352.0,1675046912.0,21579866112.0
08-01 04:11:59,98.333,1.167,0.0,0.0,0.0,0.500,1759350784.0,321892352.0,1675046912.0,21569974272.0
08-01 04:12:00,98.417,1.083,0.0,0.0,0.0,0.500,1765179392.0,321892352.0,1675046912.0,21564145664.0
08-01 04:12:01,98.333,1.0,0.0,0.0,0.0,0.667,1757237248.0,321892352.0,1675046912.0,21572087808.0
08-01 04:12:02,97.750,1.750,0.0,0.0,0.0,0.500,1733013504.0,321892352.0,1675046912.0,21596311552.0
08-01 04:12:03,98.583,0.917,0.0,0.0,0.0,0.500,1771601920.0,321892352.0,1675046912.0,21557723136.0
08-01 04:12:04,97.083,2.0,0.0,0.0,0.0,0.917,1746964480.0,321892352.0,1675046912.0,21582360576.0
08-01 04:12:05,97.333,1.833,0.0,0.0,0.0,0.833,1755312128.0,321892352.0,1675046912.0,21574012928.0
08-01 04:12:06,97.667,1.417,0.083,0.0,0.0,0.833,1752674304.0,321892352.0,1675046912.0,21576650752.0
08-01 04:12:07,96.917,2.0,0.167,0.0,0.0,0.917,1702854656.0,321892352.0,1675046912.0,21626470400.0
08-01 04:12:08,97.333,2.0,0.0,0.0,0.0,0.667,1758244864.0,321892352.0,1675046912.0,21571080192.0
08-01 04:12:09,96.833,2.417,0.0,0.0,0.0,0.750,1761280000.0,321892352.0,1675046912.0,21568045056.0
08-01 04:12:10,96.667,2.500,0.0,0.0,0.0,0.833,1767997440.0,321892352.0,1675046912.0,21561327616.0
08-01 04:12:11,97.417,1.667,0.0,0.0,0.0,0.917,1726156800.0,321892352.0,1675046912.0,21603168256.0
08-01 04:12:12,97.833,2.0,0.0,0.0,0.0,0.167,1734549504.0,321892352.0,1675046912.0,21594775552.0
08-01 04:12:13,97.333,1.833,0.167,0.0,0.0,0.667,1773391872.0,321892352.0,1675046912.0,21555933184.0
08-01 04:12:14,97.083,1.833,0.0,0.0,0.0,1.083,1777737728.0,321892352.0,1675046912.0,21551587328.0
08-01 04:12:15,97.750,1.750,0.0,0.0,0.0,0.500,1796931584.0,321892352.0,1675046912.0,21532393472.0
08-01 04:12:16,97.667,1.667,0.0,0.0,0.0,0.667,1749311488.0,321892352.0,1675046912.0,21580013568.0
08-01 04:12:17,97.0,2.0,0.167,0.0,0.0,0.833,1764249600.0,321892352.0,1675046912.0,21565075456.0
08-01 04:12:18,97.333,1.917,0.0,0.0,0.0,0.750,1755762688.0,321892352.0,1675046912.0,21573562368.0
08-01 04:12:19,97.500,1.667,0.0,0.0,0.0,0.833,1764265984.0,321892352.0,1675046912.0,21565059072.0
08-01 04:12:20,97.500,1.750,0.0,0.0,0.0,0.750,1769545728.0,321892352.0,1675046912.0,21559779328.0
08-01 04:12:21,97.750,1.917,0.0,0.0,0.0,0.333,1780080640.0,321892352.0,1675046912.0,21549244416.0
08-01 04:12:22,97.750,1.417,0.083,0.0,0.0,0.750,1780162560.0,321892352.0,1675046912.0,21549162496.0
08-01 04:12:23,97.583,1.500,0.083,0.0,0.0,0.833,1762152448.0,321892352.0,1675046912.0,21567172608.0
08-01 04:12:24,96.500,2.0,0.167,0.0,0.0,1.333,1788694528.0,321892352.0,1675046912.0,21540630528.0
08-01 04:12:25,98.083,1.167,0.083,0.0,0.0,0.667,1759248384.0,321892352.0,1675046912.0,21570076672.0
08-01 04:12:26,97.250,1.750,0.167,0.0,0.0,0.833,1750347776.0,321892352.0,1675046912.0,21578977280.0
08-01 04:12:27,97.083,1.750,0.083,0.0,0.0,1.083,1770369024.0,321892352.0,1675046912.0,21558956032.0
08-01 04:12:28,98.0,1.333,0.167,0.0,0.0,0.500,1780404224.0,321892352.0,1675046912.0,21548920832.0
08-01 04:12:29,97.083,1.917,0.083,0.0,0.0,0.917,1743392768.0,321892352.0,1675046912.0,21585932288.0
08-01 04:12:30,98.333,1.083,0.0,0.0,0.0,0.583,1760698368.0,321892352.0,1675046912.0,21568626688.0
08-01 04:12:31,97.583,1.583,0.0,0.0,0.0,0.833,1738719232.0,321892352.0,1675046912.0,21590605824.0
08-01 04:12:32,96.833,2.333,0.250,0.0,0.0,0.583,1758380032.0,321892352.0,1675046912.0,21570945024.0
08-01 04:12:33,97.583,1.833,0.083,0.0,0.0,0.500,1776496640.0,321892352.0,1675051008.0,21552824320.0
08-01 04:12:34,96.833,2.083,0.0,0.0,0.0,1.083,1787355136.0,321892352.0,1675051008.0,21541965824.0
08-01 04:12:35,98.167,1.500,0.0,0.0,0.0,0.333,1745842176.0,321892352.0,1675051008.0,21583478784.0
08-01 04:12:36,97.667,1.833,0.0,0.0,0.0,0.500,1756454912.0,321892352.0,1675051008.0,21572866048.0
08-01 04:12:37,97.333,1.750,0.0,0.0,0.0,0.917,1772384256.0,321892352.0,1675051008.0,21556936704.0
08-01 04:12:38,96.917,2.417,0.0,0.0,0.0,0.667,1752199168.0,321892352.0,1675051008.0,21577121792.0
08-01 04:12:39,97.667,1.500,0.167,0.0,0.0,0.667,1754050560.0,321892352.0,1675051008.0,21575270400.0
08-01 04:12:40,97.250,2.083,0.250,0.0,0.0,0.417,1788510208.0,321892352.0,1675051008.0,21540810752.0
08-01 04:12:41,97.750,1.667,0.083,0.0,0.0,0.500,1752444928.0,321892352.0,1675051008.0,21576876032.0
08-01 04:12:42,97.500,2.083,0.0,0.0,0.0,0.417,1753407488.0,321892352.0,1675051008.0,21575913472.0
08-01 04:12:43,96.917,2.333,0.0,0.0,0.0,0.750,1729527808.0,321892352.0,1675051008.0,21599793152.0
08-01 04:12:44,97.500,2.0,0.0,0.0,0.0,0.500,1748467712.0,321892352.0,1675051008.0,21580853248.0
08-01 04:12:45,97.333,2.167,0.083,0.0,0.0,0.417,1752334336.0,321892352.0,1675051008.0,21576986624.0
08-01 04:12:46,96.583,2.250,0.0,0.0,0.0,1.167,1769631744.0,321892352.0,1675051008.0,21559689216.0
08-01 04:12:47,97.417,1.917,0.167,0.0,0.0,0.500,1768960000.0,321892352.0,1675051008.0,21560360960.0
08-01 04:12:48,97.333,2.0,0.0,0.0,0.0,0.667,1783889920.0,321892352.0,1675051008.0,21545431040.0
08-01 04:12:49,98.417,1.0,0.083,0.0,0.0,0.500,1772695552.0,321892352.0,1675051008.0,21556625408.0
08-01 04:12:50,98.083,1.167,0.167,0.0,0.0,0.583,1764536320.0,321892352.0,1675051008.0,21564784640.0
08-01 04:12:51,97.083,1.833,0.0,0.0,0.0,1.083,1776402432.0,321892352.0,1675051008.0,21552918528.0
08-01 04:12:52,96.333,2.417,0.083,0.0,0.0,1.167,1782071296.0,321892352.0,1675051008.0,21547249664.0
08-01 04:12:53,98.667,1.083,0.083,0.0,0.0,0.167,1780916224.0,321892352.0,1675051008.0,21548404736.0
08-01 04:12:54,97.333,1.833,0.0,0.0,0.0,0.833,1761824768.0,321892352.0,1675051008.0,21567496192.0
08-01 04:12:55,96.667,2.167,0.083,0.0,0.0,1.083,1780072448.0,321892352.0,1675051008.0,21549248512.0
08-01 04:12:56,98.0,1.167,0.083,0.0,0.0,0.750,1762004992.0,321892352.0,1675051008.0,21567315968.0
08-01 04:12:57,97.167,2.0,0.250,0.0,0.0,0.583,1773776896.0,321892352.0,1675051008.0,21555544064.0
08-01 04:12:58,98.333,1.0,0.0,0.0,0.0,0.667,1777057792.0,321892352.0,1675051008.0,21552263168.0
08-01 04:12:59,97.083,2.0,0.083,0.0,0.0,0.833,1769418752.0,321892352.0,1675051008.0,21559902208.0
08-01 04:13:00,97.167,1.833,0.0,0.0,0.0,1.0,1737535488.0,321892352.0,1675051008.0,21591785472.0
08-01 04:13:01,95.917,3.250,0.083,0.0,0.0,0.750,1750933504.0,321892352.0,1675051008.0,21578387456.0
08-01 04:13:02,97.0,2.167,0.333,0.0,0.0,0.500,1783451648.0,321892352.0,1675051008.0,21545869312.0
08-01 04:13:03,97.333,1.833,0.083,0.0,0.0,0.750,1763725312.0,321892352.0,1675051008.0,21565595648.0
08-01 04:13:04,97.083,1.667,0.083,0.0,0.0,1.167,1781911552.0,321892352.0,1675051008.0,21547409408.0
08-01 04:13:05,96.583,2.250,0.333,0.0,0.0,0.833,1774653440.0,321892352.0,1675051008.0,21554667520.0
08-01 04:13:06,97.167,1.583,0.167,0.0,0.0,1.083,1786867712.0,321892352.0,1675051008.0,21542453248.0
08-01 04:13:07,96.917,2.250,0.167,0.0,0.0,0.667,1774370816.0,321892352.0,1675051008.0,21554950144.0
08-01 04:13:08,96.417,2.583,0.0,0.0,0.0,1.0,1771859968.0,321892352.0,1675051008.0,21557460992.0
08-01 04:13:09,96.917,1.917,0.250,0.0,0.0,0.917,1789489152.0,321892352.0,1675051008.0,21539831808.0
08-01 04:13:10,96.417,2.250,0.167,0.0,0.0,1.167,1772318720.0,321892352.0,1675051008.0,21557002240.0
08-01 04:13:11,96.750,2.0,0.083,0.0,0.0,1.167,1792638976.0,321892352.0,1675051008.0,21536681984.0
08-01 04:13:12,97.083,2.0,0.333,0.0,0.0,0.583,1790451712.0,321892352.0,1675051008.0,21538869248.0
08-01 04:13:13,97.167,1.583,0.333,0.0,0.0,0.917,1795121152.0,321892352.0,1675051008.0,21534199808.0
08-01 04:13:14,96.667,2.0,0.333,0.0,0.0,1.0,1792442368.0,321892352.0,1675051008.0,21536878592.0
08-01 04:13:15,96.667,2.250,0.167,0.0,0.0,0.917,1793552384.0,321892352.0,1675055104.0,21535764480.0
08-01 04:13:16,97.500,1.750,0.083,0.0,0.0,0.667,1793777664.0,321892352.0,1675055104.0,21535539200.0
08-01 04:13:17,95.833,2.500,0.583,0.0,0.0,1.083,1767829504.0,321892352.0,1675055104.0,21561487360.0
08-01 04:13:18,96.583,2.833,0.083,0.0,0.0,0.500,1785450496.0,321892352.0,1675055104.0,21543866368.0
08-01 04:13:19,97.500,1.750,0.0,0.0,0.0,0.750,1783787520.0,321892352.0,1675055104.0,21545529344.0
08-01 04:13:20,97.0,2.583,0.0,0.0,0.0,0.417,1777385472.0,321892352.0,1675055104.0,21551931392.0
08-01 04:13:21,96.833,1.917,0.333,0.0,0.0,0.917,1768210432.0,321892352.0,1675055104.0,21561106432.0
08-01 04:13:22,96.833,2.417,0.167,0.0,0.0,0.583,1791344640.0,321892352.0,1675055104.0,21537972224.0
08-01 04:13:23,97.417,1.750,0.0,0.0,0.0,0.833,1770524672.0,321892352.0,1675055104.0,21558792192.0
08-01 04:13:24,97.167,1.917,0.0,0.0,0.0,0.917,1748869120.0,321892352.0,1675055104.0,21580447744.0
08-01 04:13:25,96.250,3.0,0.0,0.0,0.0,0.750,1749991424.0,321892352.0,1675055104.0,21579325440.0
08-01 04:13:26,97.917,1.333,0.0,0.0,0.0,0.750,1733005312.0,321892352.0,1675055104.0,21596311552.0
08-01 04:13:27,97.583,1.333,0.167,0.0,0.0,0.917,1748586496.0,321892352.0,1675055104.0,21580730368.0
08-01 04:13:28,97.667,0.917,0.417,0.0,0.0,1.0,1713573888.0,321892352.0,1675055104.0,21615742976.0
08-01 04:13:29,97.167,2.500,0.083,0.0,0.0,0.250,1760628736.0,321892352.0,1675055104.0,21568688128.0
08-01 04:13:30,96.917,2.167,0.0,0.0,0.0,0.917,1745719296.0,321892352.0,1675055104.0,21583597568.0
08-01 04:13:31,97.417,1.500,0.167,0.0,0.0,0.917,1759506432.0,321892352.0,1675055104.0,21569810432.0
08-01 04:13:32,97.417,1.500,0.167,0.0,0.0,0.917,1747128320.0,321892352.0,1675055104.0,21582188544.0
08-01 04:13:33,96.917,1.833,0.417,0.0,0.0,0.833,1758367744.0,321892352.0,1675055104.0,21570949120.0
08-01 04:13:34,96.417,2.167,0.417,0.0,0.0,1.0,1755910144.0,321892352.0,1675055104.0,21573406720.0
08-01 04:13:35,97.667,2.0,0.0,0.0,0.0,0.333,1743298560.0,321892352.0,1675055104.0,21586018304.0
08-01 04:13:36,96.500,2.667,0.083,0.0,0.0,0.750,1722466304.0,321892352.0,1675055104.0,21606850560.0
08-01 04:13:37,97.250,1.917,0.0,0.0,0.0,0.833,1755799552.0,321892352.0,1675055104.0,21573517312.0
08-01 04:13:38,96.667,2.500,0.083,0.0,0.0,0.750,1753190400.0,321892352.0,1675055104.0,21576126464.0
08-01 04:13:39,96.417,2.417,0.083,0.0,0.0,1.083,1753722880.0,321892352.0,1675055104.0,21575593984.0
08-01 04:13:40,95.750,3.083,0.250,0.0,0.0,0.917,1750519808.0,321892352.0,1675055104.0,21578797056.0
08-01 04:13:41,96.500,2.167,0.250,0.0,0.0,1.083,1758076928.0,321892352.0,1675055104.0,21571239936.0
08-01 04:13:42,95.917,2.333,0.583,0.0,0.0,1.167,1726025728.0,321892352.0,1675055104.0,21603291136.0
08-01 04:13:43,97.667,1.333,0.167,0.0,0.0,0.833,1752096768.0,321892352.0,1675055104.0,21577220096.0
08-01 04:13:44,96.667,1.917,0.417,0.0,0.0,1.0,1775017984.0,321892352.0,1675055104.0,21554298880.0
08-01 04:13:45,96.750,2.167,0.0,0.0,0.0,1.083,1753284608.0,321892352.0,1675055104.0,21576032256.0
08-01 04:13:46,97.250,1.750,0.083,0.0,0.0,0.917,1736040448.0,321892352.0,1675055104.0,21593276416.0
08-01 04:13:47,97.750,1.667,0.0,0.0,0.0,0.583,1755406336.0,321892352.0,1675055104.0,21573910528.0
08-01 04:13:48,97.083,2.083,0.0,0.0,0.0,0.833,1736368128.0,321892352.0,1675055104.0,21592948736.0
08-01 04:13:49,97.083,2.0,0.0,0.0,0.0,0.917,1754906624.0,321892352.0,1675055104.0,21574410240.0
08-01 04:13:50,97.583,1.917,0.0,0.0,0.0,0.500,1733955584.0,321892352.0,1675055104.0,21595361280.0
08-01 04:13:51,96.833,2.167,0.0,0.0,0.0,1.0,1739444224.0,321892352.0,1675055104.0,21589872640.0
08-01 04:13:52,97.417,1.750,0.167,0.0,0.0,0.667,1717731328.0,321892352.0,1675055104.0,21611585536.0
08-01 04:13:53,97.417,1.583,0.0,0.0,0.0,1.0,1761030144.0,321892352.0,1675055104.0,21568286720.0
08-01 04:13:54,96.917,2.0,0.0,0.0,0.0,1.083,1714073600.0,321892352.0,1675055104.0,21615243264.0
08-01 04:13:55,97.417,1.917,0.167,0.0,0.0,0.500,1742692352.0,321892352.0,1675055104.0,21586624512.0
08-01 04:13:56,96.917,1.583,0.0,0.0,0.0,1.500,1755451392.0,321892352.0,1675059200.0,21573861376.0
08-01 04:13:57,97.083,2.083,0.083,0.0,0.0,0.750,1752731648.0,321892352.0,1675059200.0,21576581120.0
08-01 04:13:58,96.500,2.667,0.083,0.0,0.0,0.750,1751384064.0,321892352.0,1675059200.0,21577928704.0
08-01 04:13:59,96.667,2.0,0.250,0.0,0.0,1.083,1723674624.0,321892352.0,1675059200.0,21605638144.0
08-01 04:14:00,96.917,2.167,0.0,0.0,0.0,0.917,1755029504.0,321892352.0,1675059200.0,21574283264.0
08-01 04:14:01,97.167,2.167,0.0,0.0,0.0,0.667,1757220864.0,321892352.0,1675059200.0,21572091904.0
08-01 04:14:02,97.333,1.833,0.333,0.0,0.0,0.500,1761030144.0,321892352.0,1675059200.0,21568282624.0
08-01 04:14:03,97.500,1.583,0.083,0.0,0.0,0.833,1731952640.0,321892352.0,1675059200.0,21597360128.0
08-01 04:14:04,98.250,1.333,0.0,0.0,0.0,0.417,1760870400.0,321892352.0,1675059200.0,21568442368.0
08-01 04:14:05,96.917,2.167,0.167,0.0,0.0,0.750,1738268672.0,321892352.0,1675059200.0,21591044096.0
08-01 04:14:06,96.750,2.417,0.167,0.0,0.0,0.667,1714925568.0,321892352.0,1675059200.0,21614387200.0
08-01 04:14:07,97.583,1.500,0.167,0.0,0.0,0.750,1725947904.0,321892352.0,1675059200.0,21603364864.0
08-01 04:14:08,97.583,1.750,0.0,0.0,0.0,0.667,1755611136.0,321892352.0,1675059200.0,21573701632.0
08-01 04:14:09,97.750,1.917,0.0,0.0,0.0,0.333,1744142336.0,321892352.0,1675059200.0,21585170432.0
08-01 04:14:10,97.750,1.833,0.083,0.0,0.0,0.333,1743839232.0,321892352.0,1675059200.0,21585473536.0
08-01 04:14:11,96.583,2.333,0.0,0.0,0.0,1.083,1719595008.0,321892352.0,1675059200.0,21609717760.0
08-01 04:14:12,97.333,1.833,0.0,0.0,0.0,0.833,1762312192.0,321892352.0,1675059200.0,21567000576.0
08-01 04:14:13,97.417,2.0,0.0,0.0,0.0,0.583,1705299968.0,321892352.0,1675059200.0,21624012800.0
